"","ANO","MES","IMAE","VENTA","GasolinaRegular","OCUPACION_HOT","VAR_INTERANUAL_IPC","CREDITO"
"52",1988,4,NA,NA,NA,NA,32.226,NA
"53",1988,5,NA,NA,NA,NA,33.387,NA
"54",1988,6,NA,NA,NA,NA,36.864,NA
"55",1988,7,NA,NA,NA,NA,44.585,NA
"56",1988,8,NA,NA,NA,NA,51.63,NA
"57",1988,9,NA,NA,NA,NA,54.315,NA
"58",1988,10,NA,NA,NA,NA,57.606,NA
"59",1988,11,NA,NA,NA,NA,59.009,NA
"60",1988,12,NA,NA,NA,NA,55.798,NA
"61",1989,1,NA,NA,NA,NA,52.072,NA
"62",1989,2,NA,NA,NA,NA,48.877,NA
"63",1989,3,NA,NA,NA,NA,46.671,NA
"64",1989,4,NA,NA,NA,NA,48.451,NA
"65",1989,5,NA,NA,NA,NA,49.75,NA
"66",1989,6,NA,NA,NA,NA,44.578,NA
"67",1989,7,NA,NA,NA,NA,36.983,NA
"68",1989,8,NA,NA,NA,NA,33.564,NA
"69",1989,9,NA,NA,NA,NA,34.236,NA
"70",1989,10,NA,NA,NA,NA,36.109,NA
"71",1989,11,NA,NA,NA,NA,33.169,NA
"72",1989,12,NA,NA,NA,NA,34.594,NA
"73",1990,1,NA,NA,NA,NA,35.003,NA
"74",1990,2,NA,NA,NA,NA,35.161,NA
"75",1990,3,NA,NA,NA,NA,35.642,NA
"76",1990,4,NA,NA,NA,NA,36.55,NA
"77",1990,5,NA,NA,NA,NA,35.312,NA
"78",1990,6,NA,NA,NA,NA,35.239,NA
"79",1990,7,NA,NA,NA,NA,39.252,NA
"80",1990,8,NA,NA,NA,NA,51.642,NA
"81",1990,9,NA,NA,NA,NA,60.428,NA
"82",1990,10,NA,NA,NA,NA,67.15,NA
"83",1990,11,NA,NA,NA,NA,75.965,NA
"84",1990,12,NA,NA,NA,NA,79.919,NA
"85",1991,1,NA,NA,NA,NA,77.139,NA
"86",1991,2,NA,NA,NA,NA,82.495,NA
"87",1991,3,NA,NA,NA,NA,81.404,NA
"88",1991,4,NA,NA,NA,NA,74.062,NA
